%;43;45;41;48;40;39;42;38;44;45;43;45;35;32;36;38;47;42;53;30;%
;49%;52%;48%;56%;47%;46%;49%;45%;52%;53%;51%;52%;41%;37%;42%;44%;55%;49%;62%;35%;
Hora;01;04;07;10;13;16;19;22;25;28;31;34;37;40;43;46;49;52;55;58;Dados
 17;2-1;1-0;;;;;;;;;;;;;;;;;;;(0%)
 16;1-3;1-2;1-1;0-0;0-0;2-0;1-2;2-3;1-0;3-1;1-2;4-0;2-2;1-2;3-0;2-1;0-0;1-0;3-0;0-1;(45%)
 15;0-0;2-0;1-1;1-0;2-1;1-2;3-2;0-1;0-0;0-1;1-4;1-2;1-2;1-4;1-0;0-1;0-2;1-0;1-0;1-1;(30%)
 14;2-2;0-1;1-3;2-0;2-0;1-0;0-1;2-2;2-1;1-1;4-1;3-0;1-0;4-1;1-3;2-0;1-0;2-1;0-2;2-2;(50%)
 13;1-3;1-1;2-0;1-0;1-1;3-3;2-2;2-1;1-1;2-2;1-1;0-1;2-1;0-5+;0-1;2-1;0-0;1-4;3-1;2-0;(56%)
 06;1-1;1-0;2-0;3-2;2-2;0-1;3-0;2-1;2-2;0-1;3-1;1-0;0-2;0-1;1-1;1-2;1-0;0-1;2-1;0-0;(25%)
 05;2-3;1-1;1-2;0-3;0-1;0-1;1-0;3-0;0-1;2-0;2-2;0-2;0-4;1-2;2-2;1-0;5+-0;0-1;0-1;1-2;(56%)
 04;0-1;0-1;0-0;0-1;0-0;0-0;1-1;0-0;1-0;3-2;0-0;0-0;0-1;0-1;1-2;4-0;1-1;2-1;2-0;1-0;(82%)
 03;1-2;0-4;1-1;0-1;3-0;2-0;0-2;2-1;2-1;1-1;1-1;3-2;0-1;1-3;1-0;1-1;1-2;2-2;0-1;2-2;(50%)
 02;0-2;1-0;1-2;2-3;0-3;0-2;3-0;2-1;2-3;2-1;3-4;2-2;0-0;0-2;2-1;0-1;0-0;0-2;0-3;3-0;(35%)
 01;1-0;3-3;0-3;1-1;1-2;2-1;0-1;2-1;0-2;3-1;2-0;1-1;1-0;0-1;1-1;0-2;1-2;5+-2;1-2;0-2;(40%)
 00;1-3;1-1;2-0;1-0;1-1;3-3;2-2;2-1;1-1;2-2;1-1;0-1;2-1;0-5+;0-1;2-1;0-0;1-4;3-1;2-0;(55%)
 23;1-1;1-0;2-0;3-2;2-2;0-1;3-0;2-1;2-2;0-1;3-1;1-0;0-2;0-1;1-1;1-2;1-0;0-1;2-1;0-0;(40%)
 22;2-3;1-1;1-2;0-3;0-1;0-1;1-0;3-0;0-1;2-0;2-2;0-2;0-4;1-2;2-2;1-0;5+-0;0-1;0-1;1-2;(30%)
 21;0-1;0-1;0-0;0-1;0-0;0-0;1-1;0-0;1-0;3-2;0-0;0-0;0-1;0-1;1-2;4-0;1-1;2-1;2-0;1-0;(50%)
 20;2-3;0-2;0-0;0-0;1-0;2-2;1-1;0-1;1-2;2-2;1-3;1-4;0-2;5+-1;0-1;0-1;0-0;4-2;1-2;1-0;(45%)
