;01;04;07;10;13;16;19;22;25;28;31;34;37;40;43;46;49;52;55;58
 17;2-1;1-0;;;;;;;;;;;;;;;;;;
 16;1-3;1-2;1-1;0-0;0-0;2-0;1-2;2-3;1-0;3-1;1-2;4-0;2-2;1-2;3-0;2-1;0-0;1-0;3-0;0-1
 15;0-0;2-0;1-1;1-0;2-1;1-2;3-2;0-1;0-0;0-1;1-4;1-2;1-2;1-4;1-0;0-1;0-2;1-0;1-0;1-1
 14;2-2;0-1;1-3;2-0;2-0;1-0;0-1;2-2;2-1;1-1;4-1;3-0;1-0;4-1;1-3;2-0;1-0;2-1;0-2;2-2
 13;1-3;1-1;2-0;1-0;1-1;3-3;2-2;2-1;1-1;2-2;1-1;0-1;2-1;0-5+;0-1;2-1;0-0;1-4;3-1;2-0
 06;1-1;1-0;2-0;3-2;2-2;0-1;3-0;2-1;2-2;0-1;3-1;1-0;0-2;0-1;1-1;1-2;1-0;0-1;2-1;0-0
 05;2-3;1-1;1-2;0-3;0-1;0-1;1-0;3-0;0-1;2-0;2-2;0-2;0-4;1-2;2-2;1-0;5+-0;0-1;0-1;1-2
 04;0-1;0-1;0-0;0-1;0-0;0-0;1-1;0-0;1-0;3-2;0-0;0-0;0-1;0-1;1-2;4-0;1-1;2-1;2-0;1-0
 03;1-2;0-4;1-1;0-1;3-0;2-0;0-2;2-1;2-1;1-1;1-1;3-2;0-1;1-3;1-0;1-1;1-2;2-2;0-1;2-2
 02;0-2;1-0;1-2;2-3;0-3;0-2;3-0;2-1;2-3;2-1;3-4;2-2;0-0;0-2;2-1;0-1;0-0;0-2;0-3;3-0
 01;1-0;3-3;0-3;1-1;1-2;2-1;0-1;2-1;0-2;3-1;2-0;1-1;1-0;0-1;1-1;0-2;1-2;5+-2;1-2;0-2
 00;1-3;1-1;2-0;1-0;1-1;3-3;2-2;2-1;1-1;2-2;1-1;0-1;2-1;0-5+;0-1;2-1;0-0;1-4;3-1;2-0
 23;1-1;1-0;2-0;3-2;2-2;0-1;3-0;2-1;2-2;0-1;3-1;1-0;0-2;0-1;1-1;1-2;1-0;0-1;2-1;0-0
 22;2-3;1-1;1-2;0-3;0-1;0-1;1-0;3-0;0-1;2-0;2-2;0-2;0-4;1-2;2-2;1-0;5+-0;0-1;0-1;1-2
 21;0-1;0-1;0-0;0-1;0-0;0-0;1-1;0-0;1-0;3-2;0-0;0-0;0-1;0-1;1-2;4-0;1-1;2-1;2-0;1-0
 20;2-3;0-2;0-0;0-0;1-0;2-2;1-1;0-1;1-2;2-2;1-3;1-4;0-2;5+-1;0-1;0-1;0-0;4-2;1-2;1-0
 19;4-0;1-0;0-0;1-0;2-2;0-1;0-3;0-0;0-2;2-0;0-0;3-0;0-3;3-0;1-1;0-3;2-0;0-1;1-2;0-1
 18;1-0;0-2;0-1;2-2;1-1;1-3;0-1;2-1;1-0;0-0;2-0;2-2;1-0;2-0;1-2;0-1;3-3;0-0;1-1;0-1
 17;3-2;1-0;1-1;4-1;4-2;0-2;0-0;1-3;0-1;4-1;3-2;2-1;1-3;0-0;1-1;0-2;2-0;2-2;1-1;2-3
 16;0-2;0-0;1-0;1-1;1-2;2-5+;0-0;1-1;0-0;0-1;3-1;2-0;1-3;1-1;0-1;3-2;1-0;1-3;2-1;0-1
 15;4-1;2-0;3-3;4-1;0-1;3-1;3-0;2-2;3-1;2-0;0-0;1-1;4-4;0-1;0-1;1-1;2-2;2-1;0-0;0-1
 14;1-0;1-0;2-1;4-0;1-0;1-0;2-0;2-0;0-2;0-2;1-2;1-1;0-0;1-0;0-1;3-1;2-2;1-2;0-0;1-2
 13;1-2;1-1;1-0;0-0;2-0;2-2;2-0;1-3;0-0;0-1;4-3;1-1;2-0;1-1;1-0;1-2;0-1;0-1;1-1;1-0
